nodei;nodej;frechet_m;direccion;longitud1_m;longitud2_m;longitud_promedio_m;diferencia_relativa_pct;duplicadas;atributos_iguales
147056;146773;0.0;invertida;1308.81;1308.81;1308.81;0.0;Sí;Sí
143824;143827;0.0;invertida;48.78;48.78;48.78;0.0;Sí;Sí
145614;145495;0.0;invertida;1665.57;1665.57;1665.57;0.0;Sí;Sí
75105;75102;0.0;invertida;405.97;405.97;405.97;0.0;Sí;Sí
147457;147407;0.0;invertida;320.47;320.47;320.47;0.0;Sí;Sí
148062;148055;0.0;invertida;103.06;103.06;103.06;0.0;Sí;Sí
150833;150509;0.0;invertida;3567.72;3567.72;3567.72;0.0;Sí;Sí
144703;144695;0.0;invertida;138.06;138.06;138.06;0.0;Sí;Sí
148897;148974;0.0;invertida;1587.53;1587.53;1587.53;0.0;Sí;Sí
146649;146595;0.0;invertida;297.35;297.35;297.35;0.0;Sí;Sí
148448;148473;0.0;invertida;104.91;104.91;104.91;0.0;Sí;Sí
148762;148773;0.0;invertida;166.35;166.35;166.35;0.0;Sí;Sí
149529;149540;0.0;invertida;65.25;65.25;65.25;0.0;Sí;Sí
143990;143967;0.0;invertida;0.53;0.53;0.53;0.0;Sí;Sí
143804;143815;0.0;invertida;98.46;98.46;98.46;0.0;Sí;Sí
149209;149515;0.0;invertida;2327.34;2327.34;2327.34;0.0;Sí;Sí
75115;147725;0.0;invertida;595.12;595.12;595.12;0.0;Sí;Sí
145752;145438;0.0;invertida;1714.23;1714.23;1714.23;0.0;Sí;Sí
148427;148423;0.0;invertida;265.28;265.28;265.28;0.0;Sí;Sí
146665;146644;0.0;invertida;172.49;172.49;172.49;0.0;Sí;Sí
147849;147883;0.0;invertida;706.85;706.85;706.85;0.0;Sí;Sí
208219;147052;0.0;invertida;195.24;195.24;195.24;0.0;Sí;Sí
148690;148637;0.0;invertida;384.87;384.87;384.87;0.0;Sí;Sí
144688;144363;0.0;invertida;2069.87;2069.87;2069.87;0.0;Sí;Sí
146644;146622;0.0;invertida;117.61;117.61;117.61;0.0;Sí;Sí
146546;146595;0.0;invertida;187.04;187.04;187.04;0.0;Sí;Sí
146594;146586;0.0;invertida;66.75;66.75;66.75;0.0;Sí;Sí
147682;147676;0.0;invertida;53.39;53.39;53.39;0.0;Sí;Sí
146470;146471;0.0;invertida;87.04;87.04;87.04;0.0;Sí;Sí
148434;207931;0.0;invertida;729.44;729.44;729.44;0.0;Sí;Sí
147968;147963;0.0;invertida;135.53;135.53;135.53;0.0;Sí;Sí
144404;144055;0.0;invertida;3452.92;3452.92;3452.92;0.0;Sí;Sí
147767;147751;0.0;invertida;64.26;64.26;64.26;0.0;Sí;Sí
148746;148783;0.0;invertida;378.85;378.85;378.85;0.0;Sí;Sí
147003;147101;0.0;invertida;327.09;327.09;327.09;0.0;Sí;Sí
147049;146989;0.0;invertida;477.36;477.36;477.36;0.0;Sí;Sí
149824;149802;0.0;invertida;607.05;607.05;607.05;0.0;Sí;Sí
147370;147390;0.0;invertida;99.5;99.5;99.5;0.0;Sí;Sí
146385;146478;0.0;invertida;581.28;581.28;581.28;0.0;Sí;Sí
148809;148818;0.0;invertida;101.34;101.34;101.34;0.0;Sí;Sí
207931;208231;0.0;invertida;541.29;541.29;541.29;0.0;Sí;Sí
147435;147350;0.0;invertida;304.51;304.51;304.51;0.0;Sí;Sí
146547;146579;0.0;invertida;101.44;101.44;101.44;0.0;Sí;Sí
148412;148380;0.0;invertida;279.23;279.23;279.23;0.0;Sí;Sí
148762;148802;0.0;invertida;230.33;230.33;230.33;0.0;Sí;Sí
75104;75101;0.0;invertida;413.33;413.33;413.33;0.0;Sí;Sí
149627;149612;0.0;invertida;151.69;151.69;151.69;0.0;Sí;Sí
148219;75119;0.0;invertida;338.62;338.62;338.62;0.0;Sí;Sí
149664;149662;0.0;invertida;44.14;44.14;44.14;0.0;Sí;Sí
144754;144780;0.0;invertida;352.07;352.07;352.07;0.0;Sí;Sí
149420;149623;0.0;invertida;1530.12;1530.12;1530.12;0.0;Sí;Sí
150616;150620;0.0;invertida;106.91;106.91;106.91;0.0;Sí;Sí
148357;75119;0.0;invertida;140.98;140.98;140.98;0.0;Sí;Sí
144704;144994;0.0;invertida;1835.75;1835.75;1835.75;0.0;Sí;Sí
147188;147197;0.0;invertida;87.0;87.0;87.0;0.0;Sí;Sí
149256;149269;0.0;invertida;62.41;62.41;62.41;0.0;Sí;Sí
147725;147685;0.0;invertida;1777.46;1777.46;1777.46;0.0;Sí;Sí
148393;148386;0.0;invertida;224.81;224.81;224.81;0.0;Sí;Sí
149233;149346;0.0;invertida;857.36;857.36;857.36;0.0;Sí;Sí
150338;150362;0.0;invertida;172.3;172.3;172.3;0.0;Sí;Sí
147139;147156;0.0;invertida;61.69;61.69;61.69;0.0;Sí;Sí
141617;141797;0.0;invertida;1857.87;1857.87;1857.87;0.0;Sí;Sí
149824;149862;0.0;invertida;239.47;239.47;239.47;0.0;Sí;Sí
148665;148565;0.0;invertida;524.27;524.27;524.27;0.0;Sí;Sí
141649;141748;0.0;invertida;1.87;1.87;1.87;0.0;Sí;Sí
147412;147382;0.0;invertida;147.05;147.05;147.05;0.0;Sí;Sí
144728;144703;0.0;invertida;173.51;173.51;173.51;0.0;Sí;Sí
147994;148036;0.0;invertida;428.46;428.46;428.46;0.0;Sí;Sí
147195;147199;0.0;invertida;185.27;185.27;185.27;0.0;Sí;Sí
145930;146075;0.0;invertida;2.96;2.96;2.96;0.0;Sí;Sí
148405;148383;0.0;invertida;201.15;201.15;201.15;0.0;Sí;Sí
146488;146487;0.0;invertida;183.56;183.56;183.56;0.0;Sí;Sí
148810;148790;0.0;invertida;271.29;271.29;271.29;0.0;Sí;Sí
145938;145870;0.0;invertida;379.23;379.23;379.23;0.0;Sí;Sí
147096;147262;0.0;invertida;448.05;448.05;448.05;0.0;Sí;Sí
144318;143766;0.0;invertida;4680.65;4680.65;4680.65;0.0;Sí;Sí
143881;143829;0.0;invertida;266.77;266.77;266.77;0.0;Sí;Sí
148968;148871;0.0;invertida;735.98;735.98;735.98;0.0;Sí;Sí
144552;144023;0.0;invertida;6384.14;6384.14;6384.14;0.0;Sí;Sí
146713;146795;0.0;invertida;249.72;249.72;249.72;0.0;Sí;Sí
146718;146711;0.0;invertida;36.3;36.3;36.3;0.0;Sí;Sí
207929;75111;0.0;invertida;138.82;138.82;138.82;0.0;Sí;Sí
144139;144263;0.0;invertida;3297.56;3297.56;3297.56;0.0;Sí;Sí
147864;148140;0.0;invertida;800.74;800.74;800.74;0.0;Sí;Sí
146681;146654;0.0;invertida;92.94;92.94;92.94;0.0;Sí;Sí
146660;146662;0.0;invertida;59.79;59.79;59.79;0.0;Sí;Sí
146770;146821;0.0;invertida;184.47;184.47;184.47;0.0;Sí;Sí
143577;143585;0.0;invertida;80.78;80.78;80.78;0.0;Sí;Sí
145617;145604;0.0;invertida;34.07;34.07;34.07;0.0;Sí;Sí
146465;146357;0.0;invertida;1297.66;1297.66;1297.66;0.0;Sí;Sí
147976;147993;0.0;invertida;292.64;292.64;292.64;0.0;Sí;Sí
147877;147911;0.0;invertida;124.46;124.46;124.46;0.0;Sí;Sí
150715;150556;0.0;invertida;1878.18;1878.18;1878.18;0.0;Sí;Sí
208425;147156;0.0;invertida;163.65;163.65;163.65;0.0;Sí;Sí
146987;146965;0.0;invertida;72.36;72.36;72.36;0.0;Sí;Sí
149046;148975;0.0;invertida;1855.63;1855.63;1855.63;0.0;Sí;Sí
146651;146654;0.0;invertida;109.12;109.12;109.12;0.0;Sí;Sí
148422;148398;0.0;invertida;123.41;123.41;123.41;0.0;Sí;Sí
143667;143349;0.0;invertida;1947.75;1947.75;1947.75;0.0;Sí;Sí
149346;149380;0.0;invertida;374.99;374.99;374.99;0.0;Sí;Sí
147189;147182;0.0;invertida;36.04;36.04;36.04;0.0;Sí;Sí
144950;144991;0.0;invertida;368.35;368.35;368.35;0.0;Sí;Sí
142133;142086;0.0;invertida;621.51;621.51;621.51;0.0;Sí;Sí
146659;146647;0.0;invertida;146.4;146.4;146.4;0.0;Sí;Sí
147497;147411;0.0;invertida;383.2;383.2;383.2;0.0;Sí;Sí
148506;148594;0.0;invertida;354.63;354.63;354.63;0.0;Sí;Sí
147594;147823;0.0;invertida;760.23;760.23;760.23;0.0;Sí;Sí
145752;145833;0.0;invertida;304.25;304.25;304.25;0.0;Sí;Sí
142144;142147;0.0;invertida;34.0;34.0;34.0;0.0;Sí;Sí
146674;146660;0.0;invertida;56.21;56.21;56.21;0.0;Sí;Sí
148856;148851;0.0;invertida;79.43;79.43;79.43;0.0;Sí;Sí
145958;145423;0.0;invertida;2387.0;2387.0;2387.0;0.0;Sí;Sí
145353;144994;0.0;invertida;1785.35;1785.35;1785.35;0.0;Sí;Sí
148759;148751;0.0;invertida;112.23;112.23;112.23;0.0;Sí;Sí
148088;147866;0.0;invertida;854.35;854.35;854.35;0.0;Sí;Sí
147942;147823;0.0;invertida;488.71;488.71;488.71;0.0;Sí;Sí
148889;148908;0.0;invertida;174.88;174.88;174.88;0.0;Sí;Sí
146036;145982;0.0;invertida;282.77;282.77;282.77;0.0;Sí;Sí
144592;144624;0.0;invertida;191.1;191.1;191.1;0.0;Sí;Sí
144608;144704;0.0;invertida;2524.25;2524.25;2524.25;0.0;Sí;Sí
147889;147946;0.0;invertida;161.55;161.55;161.55;0.0;Sí;Sí
75106;148627;0.0;invertida;95.46;95.46;95.46;0.0;Sí;Sí
147545;147623;0.0;invertida;517.92;517.92;517.92;0.0;Sí;Sí
147643;147605;0.0;invertida;102.89;102.89;102.89;0.0;Sí;Sí
148627;75103;0.0;invertida;756.18;756.18;756.18;0.0;Sí;Sí
144024;143307;0.0;invertida;6571.78;6571.78;6571.78;0.0;Sí;Sí
148113;148603;0.0;invertida;1778.42;1778.42;1778.42;0.0;Sí;Sí
147221;147182;0.0;invertida;80.6;80.6;80.6;0.0;Sí;Sí
146075;146166;0.0;invertida;976.66;976.66;976.66;0.0;Sí;Sí
148896;148567;0.0;invertida;1955.27;1955.27;1955.27;0.0;Sí;Sí
146608;146598;0.0;invertida;672.87;672.87;672.87;0.0;Sí;Sí
148259;148303;0.0;invertida;173.04;173.04;173.04;0.0;Sí;Sí
75121;75122;0.0;invertida;1837.5;1837.5;1837.5;0.0;Sí;Sí
148451;148525;0.0;invertida;851.8;851.8;851.8;0.0;Sí;Sí
149709;150271;0.0;invertida;3086.27;3086.27;3086.27;0.0;Sí;Sí
147968;147942;0.0;invertida;246.1;246.1;246.1;0.0;Sí;Sí
142210;142278;0.0;invertida;778.51;778.51;778.51;0.0;Sí;Sí
147864;148236;0.0;invertida;1116.69;1116.69;1116.69;0.0;Sí;Sí
145584;144978;0.0;invertida;3491.21;3491.21;3491.21;0.0;Sí;Sí
150179;150188;0.0;invertida;51.07;51.07;51.07;0.0;Sí;Sí
147621;147607;0.0;invertida;29.28;29.28;29.28;0.0;Sí;Sí
148643;148639;0.0;invertida;229.58;229.58;229.58;0.0;Sí;Sí
146304;146319;0.0;invertida;150.96;150.96;150.96;0.0;Sí;Sí
150267;150285;0.0;invertida;79.45;79.45;79.45;0.0;Sí;Sí
145162;145418;0.0;invertida;2601.35;2601.35;2601.35;0.0;Sí;Sí
149627;149635;0.0;invertida;75.6;75.6;75.6;0.0;Sí;Sí
147013;147095;0.0;invertida;361.63;361.63;361.63;0.0;Sí;Sí
148255;148215;0.0;invertida;174.05;174.05;174.05;0.0;Sí;Sí
146916;146949;0.0;invertida;222.41;222.41;222.41;0.0;Sí;Sí
143577;143524;0.0;invertida;244.28;244.28;244.28;0.0;Sí;Sí
148585;148603;0.0;invertida;1853.55;1853.55;1853.55;0.0;Sí;Sí
142086;142079;0.0;invertida;89.59;89.59;89.59;0.0;Sí;Sí
147545;147457;0.0;invertida;249.84;249.84;249.84;0.0;Sí;Sí
146484;146487;0.0;invertida;41.02;41.02;41.02;0.0;Sí;Sí
148428;148686;0.0;invertida;3217.11;3217.11;3217.11;0.0;Sí;Sí
147012;147260;0.0;invertida;719.59;719.59;719.59;0.0;Sí;Sí
148324;148327;0.0;invertida;40.45;40.45;40.45;0.0;Sí;Sí
147937;148115;0.0;invertida;491.64;491.64;491.64;0.0;Sí;Sí
148553;148535;0.0;invertida;52.57;52.57;52.57;0.0;Sí;Sí
142192;142188;0.0;invertida;30.06;30.06;30.06;0.0;Sí;Sí
147426;147522;0.0;invertida;308.52;308.52;308.52;0.0;Sí;Sí
145593;145450;0.0;invertida;780.09;780.09;780.09;0.0;Sí;Sí
148251;148261;0.0;invertida;309.87;309.87;309.87;0.0;Sí;Sí
144013;143942;0.0;invertida;1466.85;1466.85;1466.85;0.0;Sí;Sí
149690;149749;0.0;invertida;451.91;451.91;451.91;0.0;Sí;Sí
146006;146191;0.0;invertida;2072.59;2072.59;2072.59;0.0;Sí;Sí
150715;150702;0.0;invertida;82.07;82.07;82.07;0.0;Sí;Sí
143568;143411;0.0;invertida;900.93;900.93;900.93;0.0;Sí;Sí
146554;146294;0.0;invertida;1838.02;1838.02;1838.02;0.0;Sí;Sí
148587;148548;0.0;invertida;193.78;193.78;193.78;0.0;Sí;Sí
147635;147719;0.0;invertida;937.18;937.18;937.18;0.0;Sí;Sí
